Customer_ID,Age,Gender,Religion,Season,Festival,Fashion_Trend,Purchasing Power,Avg_Spend,Family_Size,Urban_Rural,Education_Level,Preferred_Clothing_Type,Color,Pattern,Material,Fashion_Influence_Source,Cluster,Fashion Influence,Product Range,Customer Experience,Online Presence,sales,promotion,inventory,timestamp,date,Income,Spending_Score,cluster_name
C0001,56.0,Female,Hindu,Rainy,Eid,High,High,1782,3,Urban,Graduate,Ethnic Wear,Pastel,Printed,Rayon,Social Media,0,Social Media,Men's Wear,Excellent,Strong,195,No,297,2/2/2025 0:23,1/1/2023,25795,30,Price-Sensitive Young Fashionistas
C0002,46.0,Male,Hindu,Summer,Christmas,High,Low,2300,4,Urban,Undergraduate,Casual/Formal,,Checks,Cotton,Local Culture,0,Celebrities,Men's Wear,Excellent,,210,No,304,1/11/2025 17:52,1/2/2023,10860,35,Price-Sensitive Young Fashionistas
C0003,,Female,Muslim,Winter,None,Medium,High,1657,3,Urban,Undergraduate,Sarees / Salwar Kameez,Neutral,Solid,Rayon,E-Commerce Trends,2,Social Media,Accessories,Average,Moderate,184,Yes,204,12/5/2024 1:17,1/3/2023,86820,85,Comfort-First Traditional Buyers
C0004,25.0,Male,Hindu,Rainy,None,Medium,Medium,3603,3,Urban,Postgraduate,Sarees / Salwar Kameez,Dark,,Wool,E-Commerce Trends,1,Local Trends,Women's Wear,Good,Weak,204,No,369,4/29/2025 18:02,1/4/2023,64886,37,Festival-Driven High Spenders
C0005,38.0,Female,,Winter,None,High,High,2072,5,Rural,High School,Indo-Western,Pastel,,Wool,Traditional Media,2,Social Media,Accessories,Average,Moderate,216,No,385,11/23/2024 3:12,1/5/2023,16265,5,Comfort-First Traditional Buyers
C0006,,,Muslim,Winter,Christmas,Medium,High,3840,4,Rural,Undergraduate,Traditional,Dark,Floral,Wool,Traditional Media,1,Social Media,Original Fit,Excellent,,185,No,349,12/29/2024 21:48,1/6/2023,92386,83,Festival-Driven High Spenders
C0007,36.0,Female,Muslim,Summer,Eid,Medium,,2653,2,Rural,High School,Sarees / Salwar Kameez,Bright,Printed,Wool,Traditional Media,0,Celebrities,,Average,,192,Yes,372,2/21/2025 0:31,1/7/2023,47194,78,Price-Sensitive Young Fashionistas
C0008,40.0,Female,Muslim,Rainy,Diwali,High,Low,2021,2,Rural,High School,Sarees / Salwar Kameez,Neutral,Checks,,E-Commerce Trends,0,Social Media,Women's Wear,,Moderate,197,No,367,11/16/2024 13:38,1/8/2023,97498,26,Price-Sensitive Young Fashionistas
C0009,28.0,,Hindu,Winter,Christmas,Medium,High,2751,5,Urban,Postgraduate,Sarees / Salwar Kameez,Neutral,Floral,Rayon,Local Culture,1,,Women's Wear,Excellent,,205,No,250,6/7/2024 3:21,1/9/2023,54131,62,Festival-Driven High Spenders
C0010,28.0,Female,Christian,Winter,None,Medium,Medium,2155,4,Rural,Postgraduate,Casual/Formal,Neutral,Checks,Cotton,Local Culture,0,Local Trends,Accessories,,Strong,191,Yes,263,2/16/2025 19:39,1/10/2023,70263,4,Price-Sensitive Young Fashionistas
